transaction_id,date,time,cafe_id,city,product_category,product_name,quantity,unit_price,total_amount,payment_method,loyalty_member
TR_10001,2023-01-15,08:30:00,23,Boston,Coffee,Cappuccino,2,3.75,7.50,Card,Y
TR_10002,2023-01-15,09:15:00,12,Seattle,Bakery,Blueberry Muffin,1,3.25,3.25,Cash,N
TR_10003,2023-01-15,10:45:00,7,Austin,Tea,Green Tea,1,2.75,2.75,Mobile App,Y
TR_10004,2023-01-15,12:30:00,34,Denver,Sandwiches,Turkey Club,1,8.50,8.50,Card,Y
TR_10005,2023-01-15,14:15:00,18,Atlanta,Salads,Caesar Salad,1,7.25,7.25,Card,N
TR_10006,2023-01-15,15:45:00,23,Boston,Coffee,Latte,1,4.25,4.25,Mobile App,Y
TR_10007,2023-01-15,16:20:00,41,Seattle,Bakery,Chocolate Croissant,2,4.00,8.00,Cash,N
TR_10008,2023-01-16,07:45:00,5,Austin,Coffee,Black Coffee,1,2.50,2.50,Card,Y
TR_10009,2023-01-16,08:30:00,29,Denver,Sandwiches,Vegetarian Panini,1,7.75,7.75,Mobile App,Y
TR_10010,2023-01-16,11:00:00,16,Atlanta,Tea,Chai Latte,1,3.95,3.95,Card,N
TR_10011,2023-01-16,12:45:00,12,Seattle,Sandwiches,Chicken Panini,1,8.75,8.75,Card,Y
TR_10012,2023-01-16,14:30:00,7,Austin,Bakery,Almond Croissant,1,4.50,4.50,Cash,N
TR_10013,2023-01-17,08:00:00,34,Denver,Coffee,Espresso,1,2.75,2.75,Card,Y
TR_10014,2023-01-17,09:45:00,18,Atlanta,Bakery,Cinnamon Roll,1,5.25,5.25,Mobile App,Y
TR_10015,2023-01-17,11:30:00,23,Boston,Salads,Grilled Chicken Salad,1,9.50,9.50,Card,Y
TR_10016,2023-01-17,13:15:00,41,Seattle,Tea,Herbal Tea,1,3.25,3.25,Cash,N
TR_10017,2023-01-17,15:00:00,5,Austin,Coffee,Macchiato,1,4.00,4.00,Card,Y
TR_10018,2023-01-18,07:30:00,29,Denver,Bakery,Bagel with Cream Cheese,1,3.75,3.75,Mobile App,Y
TR_10019,2023-01-18,10:00:00,16,Atlanta,Sandwiches,BLT,1,7.25,7.25,Card,N
TR_10020,2023-01-18,12:00:00,12,Seattle,Coffee,Flat White,1,4.50,4.50,Card,Y
TR_10021,2023-01-18,14:00:00,7,Austin,Salads,Quinoa Salad,1,8.25,8.25,Cash,N
TR_10022,2023-01-19,08:45:00,34,Denver,Bakery,Scone,1,3.50,3.50,Card,Y
TR_10023,2023-01-19,11:15:00,18,Atlanta,Coffee,Caramel Latte,1,5.25,5.25,Mobile App,Y
TR_10024,2023-01-19,13:45:00,23,Boston,Sandwiches,Italian Sub,1,9.25,9.25,Card,Y
TR_10025,2023-01-19,16:30:00,41,Seattle,Tea,Iced Tea,1,3.75,3.75,Cash,N
